Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,BAO_Label,Target_Name
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
Cc1cccc(N2CCN(C(=O)Cn3sc4nc(C)cc(C)c4c3=O)CC2C)c1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
Cc1cccc(CS(=O)(=O)c2nnc([C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)o2)c1,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
Cc1ccccc1C(=O)OC1OC(O)=C(Cl)/C1=N/c1ccc(C(=O)O)cc1,Potency,'=',1258.9,nM,5.9,assay format,Beta-lactamase AmpC
O=C(O)c1cccc2c1NC(C(=O)O)C1CC(Sc3ccccc3[N+](=O)[O-])C(Cl)C21,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
O=C(O)C1Nc2c(O)cc(Cl)c([N+](=O)[O-])c2C2C=CCC12,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
CCOC(=O)C1CCCN(C(=O)Cn2sc3nc(C)cc(C)c3c2=O)C1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1,Potency,'=',25118.9,nM,4.6,assay format,Beta-lactamase AmpC
Cc1ccccc1C(=O)OC1OC(=O)C(Cl)=C1N1CCOCC1,Potency,'=',3981.1,nM,5.4,assay format,Beta-lactamase AmpC
Cc1cc(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)cc1C,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
CC(C)CC(OC(=O)c1ccco1)C(=O)NC1CCCCC1,Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
O=C(Oc1ccccc1)c1cccnc1Oc1ccccc1,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
COc1ccc2c3c1OC1C(O)C=CC4C(C2)[N+](C)(C)CCC341.[I-],Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1cccc3ccccc13)C(=O)O)C2=O,Ki,'=',5000.0,nM,5.3,assay format,Beta-lactamase AmpC
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1c[nH]c3ccccc13)C(=O)O)C2=O,Ki,'=',17000.0,nM,4.77,assay format,Beta-lactamase AmpC
CCC(=O)NC(=S)NNC(=O)c1ccc(OC)cc1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
Cc1ccc(C(=O)O)cc1-c1ccc(/C=C2\SC(=O)N(CC(=O)Nc3ccccc3)C2=O)o1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
CN(C)P(=O)(/C(=N/c1ccccc1)N1CCCC1)N1CCCC1,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
Cc1nn(-c2nnc(NC3CCCCC3)nn2)c(C)c1Br,Potency,'=',100000.0,nM,4.0,assay format,Beta-lactamase AmpC
Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccccc3N3CCCCC3)CC2)cc1,Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
CC[n+]1ccc(C[n+]2ccccc2)c2ccccc21.[I-].[I-],Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
O=C(CN1C(=O)S/C(=C\c2ccc(-c3cc(C(=O)O)ccc3Cl)o2)C1=O)Nc1ccc2c(c1)OCO2,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
O=C(O)CCCCC1CCSS1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
Cc1ccc(N(C(=O)CNC(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccncc2)cc1,Potency,'=',14125.4,nM,4.85,assay format,Beta-lactamase AmpC
CCCNC(=O)Cn1sc2nc(C)cc(C)c2c1=O,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
CN1CCCN(C(=O)CC2(CC(=O)O)CCCC2)CC1.Cl,Potency,'=',28183.8,nM,4.55,assay format,Beta-lactamase AmpC
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.[Na+],Potency,'=',354.8,nM,6.45,assay format,Beta-lactamase AmpC
CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cc(C)ccc2C)o1,Potency,'=',11220.2,nM,4.95,assay format,Beta-lactamase AmpC
CN1CCN(c2nc3c(c(=O)n(C)c(=O)n3C)n2CC(N)=O)CC1,Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
O=CC(Br)P(=O)(N1CCOCC1)N1CCOCC1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
CCCCNC(=O)Oc1c(Br)cc2sc(=O)oc2c1Br,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
COc1ccc(/C=C2\N=C(C)OC2=O)cc1OC,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
CCC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[K+],Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
CCCC[n+]1c2ccccc2cc2ccccc21.[I-],Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
O=C(Nc1ccccc1)c1cc2ccccc2c(=O)s1,Potency,'=',89125.1,nM,4.05,assay format,Beta-lactamase AmpC
Cc1sc2nc(C(C)C)nc(SCC(=O)NC3CC3)c2c1C,Potency,'=',14125.4,nM,4.85,assay format,Beta-lactamase AmpC
Cc1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccccc2C)cc1,Potency,'=',6309.6,nM,5.2,assay format,Beta-lactamase AmpC
Cc1ccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)c(C)c1,Ki,'=',17000.0,nM,4.77,assay format,Beta-lactamase AmpC
Cc1cc(C)c2c(=O)n(CC(=O)Nc3cccc(F)c3)sc2n1,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1ccc3ccccc3c1)C(=O)O)C2=O,Ki,'=',14000.0,nM,4.85,assay format,Beta-lactamase AmpC
CN(C)C(=S)SSC(=S)N(C)C,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.O.[Na+],Potency,'=',44.7,nM,7.35,assay format,Beta-lactamase AmpC
COc1cc[n+](OC(=O)N2CCCCC2)c(C)c1.c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
COC(=O)c1sc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)c(C#N)c1C,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
CCCn1c(SCC(=O)N2CCCc3ccccc32)nc2c1c(=O)n(C)c(=O)n2C,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
O=C1NC(=S)N(Cc2ccco2)C(=O)/C1=C\c1cccs1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O.[Na+].[Na+].[Na+].[Na+],Potency,'=',12589.3,nM,4.9,assay format,Beta-lactamase AmpC
COc1ccc(Cl)cc1NC(=O)COc1ccc(S(=O)(=O)N2CCOCC2)cc1C,Potency,'=',28183.8,nM,4.55,assay format,Beta-lactamase AmpC
COc1ccc(-n2ccc(=O)c(C(=O)Nc3ccc(S(=O)(=O)Nc4nccs4)cc3)n2)cc1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
CCC(C)[C@@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cccc(C)c2)o1,Potency,'=',10000.0,nM,5.0,assay format,Beta-lactamase AmpC
N=C1/C(=C\c2ccc(-c3cccc(C(=O)O)c3)o2)C(=O)N=C2SC=C(c3ccccc3)N12,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
Cc1ccc(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
NC(=O)CC1(CC(=O)O)CCCCC1,Potency,'=',70794.6,nM,4.15,assay format,Beta-lactamase AmpC
CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]21.[Na+],Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
COc1ccc(OC)c(N2C(=O)/C(=C/c3ccco3)C(=O)NC2=S)c1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
O=C1OC(OC(=O)c2ccccc2Br)C(N2CCOCC2)=C1Cl,Potency,'=',10000.0,nM,5.0,assay format,Beta-lactamase AmpC
O=C(CSc1nc(-c2ccc(F)cc2)nc2c1Cc1ccccc1O2)Nc1ccc(C(=O)O)cc1,Potency,'=',63095.7,nM,4.2,assay format,Beta-lactamase AmpC
Cc1ccc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c(C)c1,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1c3ccccc3cc3ccccc13)C(=O)O)C2=O,Ki,'=',12000.0,nM,4.92,assay format,Beta-lactamase AmpC
Cn1cc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)c2ccccc21,Ki,'=',17000.0,nM,4.77,assay format,Beta-lactamase AmpC
Cc1ccccc1/N=C1\C(Cl)=C(O)OC1OC(=O)c1ccccc1C,Potency,'=',19952.6,nM,4.7,assay format,Beta-lactamase AmpC
Cc1ccc(C(=O)OC2OC(=O)C(Cl)=C2N2CCOCC2)cc1,Potency,'=',11220.2,nM,4.95,assay format,Beta-lactamase AmpC
CCc1ccc(NC(=O)c2cc3sc(Cl)cc3n2C)cc1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
Cc1nc(N2CCN(C(=O)c3cccs3)CC2)c2c3c(sc2n1)CCCC3,Potency,'=',35481.3,nM,4.45,assay format,Beta-lactamase AmpC
C[C@@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2ccccc2)o1,Potency,'=',8912.5,nM,5.05,assay format,Beta-lactamase AmpC
Nc1ccc2nc3c(O)nc(S)nc3nc2c1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
O=C(N1CCOCC1)n1nnc2ccccc21,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
Cc1ccccc1CS(=O)(=O)c1nnc([C@H](CC(C)C)NC(=O)OC(C)(C)C)o1,Potency,'=',11000.0,nM,4.96,assay format,Beta-lactamase AmpC
O=C(N/N=C\C=C\c1ccc(Br)cc1)c1ccc2c(c1)OCO2,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
O=C1c2ccccc2C(=O)N1OS(=O)(=O)c1ccc(F)cc1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
Cc1ccc(S(=O)(=O)c2nc(C)oc2NCc2ccccc2)cc1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
CCCc1cc(=O)oc2cc(OCC(=O)Nc3ccc(S(N)(=O)=O)cc3)ccc12,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,Potency,'=',8912.5,nM,5.05,assay format,Beta-lactamase AmpC
CC(C)(C)OC(=O)NCCc1nnc(S(=O)(=O)Cc2ccc(Cl)cc2Cl)o1,Potency,'=',66.0,nM,7.18,assay format,Beta-lactamase AmpC
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1,Potency,'=',15000.0,nM,4.82,assay format,Beta-lactamase AmpC
CC1Oc2ccccc2N(CC(=O)NCCc2ccccc2)C1=O,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
N#C/C(C(=O)Nc1ccc(Cl)cc1)=C(/S)Nc1ccccc1,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21.Cl,Potency,'=',63095.7,nM,4.2,assay format,Beta-lactamase AmpC
O=C1c2ccccc2C(=O)N1OS(=O)(=O)c1ccccc1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
Cn1cnnc1SCC(=O)Nc1nc(-c2ccccc2)cs1,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
