SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
Cc1cc(C)n(C(=O)CSc2nc3ccccc3o2)n1,MOL0001,OK,287.34400000000005,3.073640000000001,0,6,60.92,3
CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.O.[Na+],MOL0002,OK,454.4800000000002,-2.671599999999996,1,6,130.27,5
Nc1nc2c(s1)CCc1c-2cnn1-c1ccccc1,MOL0003,OK,268.345,2.6766000000000005,1,5,56.73,1
CC(C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2c(F)cccc2Cl)o1,MOL0004,OK,447.91600000000017,4.057800000000003,1,7,111.39,6
CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,MOL0005,OK,575.6320000000002,-1.3974999999999984,4,14,219.92999999999995,9
COc1cccc(Cn2ncc3c4sc(B(O)O)cc4n(C)c3c2=O)c1,MOL0006,Filter9_metal > 0,369.2110000000001,0.6863999999999998,2,8,89.50999999999999,4
CSc1ccccc1NC(=O)c1noc2c1CCC2,MOL0007,OK,274.345,3.137500000000001,1,4,55.13,3
Cc1ccc(N/N=C(/Sc2nnnn2-c2ccccc2)C(=O)c2ccccc2)cc1,MOL0008,Filter39_imine > 0,414.49400000000014,4.3713200000000025,1,8,85.06,6
Cc1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccc(C)cc2)cc1,MOL0009,OK,357.79300000000006,4.555140000000003,1,5,68.12,3
CC(C)(C)c1cc(CN2CCN(CCC#N)CC2)cc(C(C)(C)C)c1O,MOL0010,OK,357.5420000000001,4.018480000000005,1,4,50.5,4
Cc1cc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)ccc1F,MOL0011,OK,335.31200000000007,2.0506200000000003,0,5,80.75,3
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1.[Na+],MOL0012,Filter44_michael_acceptor2 > 0,418.4280000000001,-3.738399999999995,1,8,115.84,6
CN1C(=O)/C(=N/OC(=O)c2ccccc2Br)c2ccccc21,MOL0013,Filter9_metal > 0,359.1790000000001,2.986600000000002,0,4,58.970000000000006,2
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MOL0014,OK,365.4110000000001,0.023700000000000443,4,6,132.96,4
CCO/C(O)=C(/C)C1=NC(C)(C)Cc2ccccc21.I,MOL0015,OK,387.26099999999997,4.254400000000004,1,3,41.82,3
COC(=O)c1ccccc1NC(=S)NC(=O)c1ccccc1C,MOL0016,OK,328.39300000000003,2.9084200000000013,2,4,67.43,3
COC(=O)CS(=O)(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)o1,MOL0017,OK,425.4630000000002,1.8248,1,9,137.69000000000003,7
Cc1ccccc1C(=O)OC1OC(O)=C(Cl)/C1=N\c1ccccc1,MOL0018,OK,343.766,4.2467200000000025,1,5,68.12,3
N=C1/C(=C/c2ccc(-c3cccc(C(=O)O)c3)o2)C(=O)N=C2SC=C(c3ccccc3)N12,MOL0019,OK,441.46800000000013,4.949070000000003,2,5,106.96000000000001,4
Cn1c2cc(B(O)O)sc2c2cnn(Cc3ccccc3F)c(=O)c21,MOL0020,Filter9_metal > 0,357.17500000000007,0.8168999999999997,2,7,80.28,3
O=C(CCNS(=O)(=O)c1ccc(Cl)cc1)N1CCC2(O)CCCCC2C1,MOL0021,OK,400.92800000000034,2.162,2,4,86.71000000000001,5
CCc1ccccc1-n1c(SCC(=O)NC)nnc1-c1cccnc1,MOL0022,OK,353.451,2.729800000000001,1,6,72.7,6
CC(O)C(C(=O)OCc1ccc([N+](=O)[O-])cc1)N1C(=O)c2ccccc2C1=O,MOL0023,OK,384.34400000000016,1.6836,1,7,127.04999999999998,6
CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[K+],MOL0024,OK,402.51300000000015,-3.2450999999999963,1,6,98.77000000000001,5
CCc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2)c2oc3ccccc3c2n1.Cl,MOL0025,OK,451.95800000000014,4.772300000000005,1,6,74.5,4
Cc1cc(C)c2c(=O)n(CC(=O)N3CCC(N4CCCCC4)CC3)sc2n1,MOL0026,OK,388.53700000000026,2.5517400000000006,0,6,58.440000000000005,3
COC(=O)/C=c1/sc2nc3ccccc3n2c1=O,MOL0027,OK,260.274,0.5815999999999998,0,6,60.669999999999995,1
NC(Cc1cc(O)c(O)cc1O)C(=O)O,MOL0028,Filter58_polyphenol2 > 0,213.18899999999996,-0.24220000000000003,5,5,124.01,3
Cc1ccccc1N1C(=O)/C(=C/c2ccco2)C(=O)NC1=S,MOL0029,OK,312.35,2.41932,1,4,62.550000000000004,2
CC(C)(C)c1ccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,MOL0030,OK,395.4110000000001,2.9742000000000006,2,4,111.98000000000002,5
O=C(O)c1ccc2c(c1)C(=O)N([C@H](Cc1ccc(-c3ccccc3)cc1)C(=O)O)C2=O,MOL0031,OK,415.40100000000007,3.343700000000001,2,4,111.98000000000002,6
CCc1ccc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)cc1,MOL0032,OK,331.34900000000005,2.1654999999999998,0,5,80.75,4
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=CCS[C@H]12)c1cnc(N)s1.[Na+],MOL0033,Filter44_michael_acceptor2 > 0,405.39300000000003,-4.886499999999998,2,10,150.04,5
COC(=O)CS(=O)(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)o1,MOL0034,OK,425.4630000000002,1.8248,1,9,137.69000000000003,7
O=C1NC(=S)N(c2ccc(F)cc2)C(=O)/C1=C/c1ccco1,MOL0035,OK,316.31300000000005,2.25,1,4,62.550000000000004,2
CCCCC(=O)NC(=S)NNC(=O)c1ccc(OC)cc1,MOL0036,Filter20_hydrazine > 0,309.3910000000001,1.5209,3,4,79.46000000000001,5
Cc1cc(C)n(-c2nc3ccccc3c(=O)n2OCc2ccc(F)cc2)n1,MOL0037,OK,364.38000000000005,2.966940000000001,0,6,61.94,4
O=P(O)(CN1CCCCCC1)C1Cc2ccccc2C1,MOL0038,OK,293.34700000000004,3.2577000000000025,1,2,40.54,3
NC(=O)c1ccsc1NC(=O)COC(=O)COc1ccccc1[N+](=O)[O-],MOL0039,OK,379.3500000000001,1.3158999999999996,2,8,150.86,8
Cc1ccc(NC(=O)CN2C(=O)S/C(=C/c3ccc(O)c([N+](=O)[O-])c3)C2=O)cc1C,MOL0040,OK,427.4380000000002,3.592240000000002,2,7,129.85,5
COC(=O)c1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccccc2)cc1,MOL0041,OK,387.7750000000001,3.7249000000000017,1,7,94.42000000000002,4
O=C(O)CC1(CC(=O)N2CCC(C(=O)O)CC2)CCCC1,MOL0043,OK,297.35100000000006,1.7347999999999992,2,3,94.91000000000001,5
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])C(C)(C)S[C@H]12.[Na+],MOL0044,OK,475.8610000000002,-1.6428799999999988,1,7,115.57,4
Cc1ccccc1CS(=O)(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)o1,MOL0045,OK,457.5520000000002,4.160420000000003,1,7,111.39000000000001,7
CCCCSc1nnc([C@@H]2CCCN2C(=O)OC(C)(C)C)o1,MOL0046,OK,327.45000000000005,4.033800000000004,0,6,68.46000000000001,5
C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,MOL0047,Filter89_hydroxylamine > 0,435.44000000000017,-1.1724999999999979,4,10,201.57999999999998,7
Cc1cc(C)nc(SSc2nc(C)cc(C)n2)n1,MOL0048,Filter56_SS_bond > 0,278.406,3.299680000000002,0,6,51.56,3
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2ccccc2)o1,MOL0049,OK,443.5250000000002,3.852000000000003,1,7,111.39,7
Cc1cc(C)c(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1C,MOL0050,OK,359.4030000000001,2.836780000000001,0,5,80.75,3
COc1ccc(OC)c(CCNC(=O)Cn2sc3nc(C)cc(C)c3c2=O)c1,MOL0051,OK,401.48800000000017,2.45094,1,7,82.44999999999999,7
Cc1cc(C)c(NC(=O)c2cc3sc(Cl)cc3n2C)c(C)c1,MOL0052,OK,332.8560000000001,5.0707600000000035,1,3,34.03,2
Cc1ccccc1NC(=O)CN1C(=O)S/C(=C\c2ccc(-c3cc(C(=O)O)ccc3C)o2)C1=O,MOL0053,OK,476.5100000000003,4.936640000000004,2,6,116.92000000000002,6
COc1ccc(OC)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1,MOL0054,OK,363.3470000000001,1.6203,0,7,99.20999999999998,5
CCC(C)[C@@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cccc(C)c2)o1,MOL0055,OK,423.5350000000002,3.9638200000000037,1,7,111.39,7
CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1.Cl,MOL0056,OK,363.84200000000004,2.650300000000001,1,6,99.08,6
Cn1c2cc(B(O)O)sc2c2cnn(Cc3ccc(F)cc3F)c(=O)c21,MOL0057,Filter9_metal > 0,375.1650000000001,0.9559999999999997,2,7,80.28,3
Cc1cc(C)c2c(=O)n(CC(=O)NCCCN3CCOCC3)sc2n1,MOL0058,OK,364.4710000000001,0.9133400000000003,1,7,76.46000000000001,6
COc1ccc(CCNC(=O)CSc2n[nH]c(N)n2)cc1,MOL0059,OK,307.379,0.8464999999999998,3,6,105.91999999999999,7
O=C(NC(=S)Nc1ccc2c(c1)OCCO2)c1ccc(F)cc1Cl,MOL0060,OK,366.80100000000004,3.377100000000002,2,4,59.59,2
O=C1NC(=O)C(=Cc2cc3c(cc2[N+](=O)[O-])OCO3)C(=O)N1,MOL0061,OK,305.202,0.0728999999999998,2,7,136.87,2
CC(C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2c(F)cccc2Cl)o1,MOL0062,OK,447.91600000000017,4.057800000000003,1,7,111.39,6
CC(Oc1ccccc1F)C(=O)NN,MOL0063,Filter20_hydrazine > 0,198.19699999999995,0.5829000000000002,2,3,64.35,3
Cc1nc(S(=O)(=O)c2ccc(Cl)cc2)c(NCc2ccccc2)o1,MOL0064,OK,362.83800000000014,4.0813200000000025,1,5,72.2,5
CCCc1c(C)nc2ccc(C(=O)O)cc2c1S,MOL0065,Filter74_thiol > 0,261.34599999999995,3.482620000000002,2,3,50.19,3
O=[N+]([O-])c1c(O)nc(O)nc1NC1CCCCC1,MOL0066,OK,254.24599999999995,1.5405999999999997,3,7,121.41000000000001,3
CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1.Cl,MOL0067,OK,363.84200000000004,2.650300000000001,1,6,99.08,6
CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2cc(C)ccc2C)o1,MOL0068,OK,437.56200000000024,4.272240000000004,1,7,111.39,7
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2ccccc2)o1,MOL0069,OK,443.5250000000002,3.852000000000003,1,7,111.39,7
Cc1ccc(S(=O)(=O)N2CCC(C(=O)N[C@@H](C)C(=O)Nc3ccc4c(c3)OCO4)CC2)cc1,MOL0070,OK,473.5510000000003,2.2678199999999995,2,6,114.04000000000002,6
Cc1ccccc1CS(=O)(=O)c1nnc([C@H](CC(C)C)NC(=O)OC(C)(C)C)o1,MOL0071,OK,423.5350000000002,3.963820000000003,1,7,111.39000000000001,7
CC1=C(C(=O)O)N2C(=O)C(NC(=O)c3ccccc3Cl)C2SC1,MOL0072,OK,352.7990000000001,1.7120999999999997,2,4,86.71000000000001,3
Cn1c(=O)c2c(-c3ccc(C(C)(C)C)cc3)n(N3CCOCC3)cc2n(C)c1=O,MOL0073,Filter82_pyridinium > 0,396.49100000000027,1.9713999999999998,0,7,61.400000000000006,2
C/C(Cl)=C/CC1(CN2CCCC2=O)C(=O)NC(=O)NC1=O,MOL0074,OK,313.741,0.4938999999999999,2,4,95.58000000000001,4
CN(C)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2Cl)cc1,MOL0075,OK,319.74800000000005,3.5665000000000013,1,4,75.48,4
O=C(O)CC1(CC(=O)N2CCOCC2)CCCC1,MOL0076,OK,255.3139999999999,1.2703999999999995,1,3,66.84,4
Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(CO)c(O)c3c(c1O2)C(O)OC3=O,MOL0077,Filter38_aldehyde > 0,388.2840000000001,1.1972199999999997,4,10,159.82,2
CCOC(=O)c1cc2c(ccn2C)n1CC(=O)N1CCN(c2ccccc2)CC1,MOL0078,OK,394.4750000000002,2.505300000000001,0,6,59.71,5
Cn1c2cc(B(O)O)sc2c2cnn(Cc3c(F)cccc3F)c(=O)c21,MOL0079,Filter9_metal > 0,375.1650000000001,0.9559999999999996,2,7,80.28,3
Cc1sc2nc(CN(Cc3cccs3)C(=O)NC3CCCCC3)nc(O)c2c1C,MOL0080,OK,430.59900000000033,5.1197400000000055,2,6,78.35000000000001,5
Cn1c2cc(B(O)O)sc2c2cnn(Cc3c(F)cccc3Cl)c(=O)c21,MOL0081,Filter9_metal > 0,391.6200000000001,1.4702999999999995,2,7,80.28,3
CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2cccc(F)c2)o1.Cl,MOL0082,OK,363.84200000000004,2.650300000000001,1,6,99.08,6
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,MOL0083,OK,446.5110000000001,3.656600000000002,3,7,129.81,8
